name,shape,dtype,Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
decoder.layers.6.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.095,0.102,352.04,328.33,28393568,0.8462
decoder.layers.6.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.065,0.046,0.14,0.2,8480,0.9201
decoder.layers.6.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.067,0.059,0.24,0.28,14432,0.8809
decoder.layers.6.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.104,368.64,361.44,32171184,0.8522
decoder.layers.7.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.069,0.062,0.24,0.27,14464,0.8828
decoder.layers.7.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.274,0.24,819.87,934.04,189026128,0.8424
decoder.layers.7.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.139,661.52,804.82,94542960,0.8426
decoder.layers.7.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14352,0.876
decoder.layers.7.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.059,0.26,0.28,14320,0.874
decoder.layers.7.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.103,349.31,326.63,28208144,0.8407
decoder.layers.7.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.067,0.046,0.14,0.2,8448,0.9167
decoder.layers.7.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.059,0.26,0.28,14464,0.8828
decoder.layers.7.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.108,369.85,350.22,32063312,0.8494
decoder.layers.8.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.062,0.26,0.26,14448,0.8818
decoder.layers.8.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.272,0.235,823.67,952.92,188893280,0.8418
decoder.layers.8.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.171,0.139,656.01,806.8,94449136,0.8418
decoder.layers.8.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.068,0.06,0.24,0.27,14336,0.875
decoder.layers.8.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.063,0.065,0.26,0.25,14352,0.876
decoder.layers.8.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.101,0.104,331.66,324.17,28249920,0.8419
decoder.layers.8.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.062,0.052,0.15,0.18,8448,0.9167
decoder.layers.8.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.064,0.26,0.25,14448,0.8818
decoder.layers.8.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.108,0.106,350.17,356.16,32029520,0.8485
decoder.layers.9.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.26,0.25,14432,0.8809
decoder.layers.9.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.273,0.237,821.8,944.9,188775760,0.8413
decoder.layers.9.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.169,0.139,662.87,807.87,94391232,0.8413
decoder.layers.9.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.062,0.26,0.27,14304,0.873
decoder.layers.9.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14336,0.875
decoder.layers.9.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.098,0.106,343.34,315.64,28244928,0.8418
decoder.layers.9.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.061,0.047,0.15,0.2,8464,0.9184
decoder.layers.9.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.068,0.059,0.24,0.28,14432,0.8809
decoder.layers.9.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.101,0.103,375.4,366.02,32053936,0.8491
embedding.word.embeddings.weight,"[75776, 4096]",float32,1.2 GB,1241513984,1.635,1.034,759.56,1200.94,952057056,0.7669
output.layer.weight,"[75776, 4096]",float32,1.2 GB,1241513984,1.719,1.073,722.26,1157.41,1090789744,0.8786
